priority_rank,section,entry_type,entry_id,sport,competition,event,market_family,market_selection,line_or_alternatives,pricing_tier,odds_status,evidence_quality,confidence,thesis,counter_evidence,line_sensitivity,correlation_tags,optional_superbet_check_priority,why_useful_even_without_odds,what_odds_needed_only_for_price_stake_decision
1,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_austria_vs_poland_2026_07_03t160000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, European Qualifiers, Group F",Austria vs Poland,totals,Total points - operator line requires confirmation :: Austria,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Austria vs Poland; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_austria_vs_poland_2026_07_03t160000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
2,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_belgium_vs_france_2026_07_03t183000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, European Qualifiers, Group G",Belgium vs France,totals,Total points - operator line requires confirmation :: Belgium,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Belgium vs France; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_belgium_vs_france_2026_07_03t183000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
3,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000_totals_line_sensitive_unpriced,basketball,New Zealand - NBL,Canterbury Rams vs Manawatu Jets,totals,Total points - operator line requires confirmation :: Canterbury Rams,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Canterbury Rams vs Manawatu Jets; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
4,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_china_vs_japan_2026_07_03t113000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, Asian & Oceanian Qualifiers, Gr. B",China vs Japan,totals,Total points - operator line requires confirmation :: China,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for China vs Japan; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_china_vs_japan_2026_07_03t113000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
5,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_finland_vs_hungary_2026_07_03t153000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, European Qualifiers, Group G",Finland vs Hungary,totals,Total points - operator line requires confirmation :: Finland,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Finland vs Hungary; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_finland_vs_hungary_2026_07_03t153000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
6,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_israel_vs_germany_2026_07_03t170000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, European Qualifiers, Group E",Israel vs Germany,totals,Total points - operator line requires confirmation :: Israel,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Israel vs Germany; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_israel_vs_germany_2026_07_03t170000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
7,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, Asian & Oceanian Qualifiers, Gr. B",Korea Republic vs Chinese Taipei,totals,Total points - operator line requires confirmation :: Korea Republic,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Korea Republic vs Chinese Taipei; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
8,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_basketball_netherlands_vs_latvia_2026_07_03t173000_0000_totals_line_sensitive_unpriced,basketball,"International - FIBA World Cup, European Qualifiers, Group F",Netherlands vs Latvia,totals,Total points - operator line requires confirmation :: Netherlands,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total points - operator line requires confirmation` as an analysis-first candidate for Netherlands vs Latvia; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,basketball_netherlands_vs_latvia_2026_07_03t173000_0000; result; totals; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
9,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_cs2_big_vs_mibr_2026_07_03t080000_0000_total_maps_line_sensitive_unpriced,cs2,XSE Pro League,BIG vs MIBR,total_maps,Total maps - operator line requires confirmation :: BIG,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for BIG vs MIBR; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,cs2_big_vs_mibr_2026_07_03t080000_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
10,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000_total_maps_line_sensitive_unpriced,cs2,XSE Pro League,BetBoom Team vs Team Nemesis,total_maps,Total maps - operator line requires confirmation :: BetBoom Team,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for BetBoom Team vs Team Nemesis; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,cs2_betboom_team_vs_team_nemesis_2026_07_03t130000_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
